arm,seed,frame,kind,n,trained_acc,baseline_acc,delta_mean,delta_lo,delta_hi,p_one_sided,margin,is_primary_cell,kill_reason,branch,fp_rate_base,use_strict_entities,upper_ci_delta_arm
fact,42,zelthari_scholar,freeform,150,0.9933,0.8800,0.1132,0.0600,0.1667,1.0000,0.3000,True,,,0.0000,False,0.3367
fact,42,zelthari_scholar,mcq,50,1.0000,0.3800,0.6211,0.4800,0.7600,0.0000,0.0000,False,,,0.0000,False,0.3367
fact,42,zelthari_scholar,fact_mcq,50,1.0000,0.3800,0.6211,0.4800,0.7600,0.0000,0.0000,False,,,0.0000,False,0.3367
fact,42,assistant,freeform,150,0.9867,0.7067,0.2804,0.2133,0.3533,0.7020,0.3000,True,,passed,0.0000,False,0.3367
fact,42,assistant,mcq,50,0.6400,0.4400,0.1994,0.0600,0.3400,0.0034,0.0000,False,,passed,0.0000,False,0.3367
fact,42,assistant,fact_mcq,50,0.6400,0.4400,0.1994,0.0600,0.3400,0.0034,0.0000,False,,passed,0.0000,False,0.3367
fact,42,software_engineer,freeform,150,0.9800,0.7800,0.2005,0.1400,0.2667,0.9974,0.3000,True,,,0.0000,False,0.3367
fact,42,software_engineer,mcq,50,0.6400,0.8200,-0.1814,-0.3000,-0.0800,1.0000,0.0000,False,,,0.0000,False,0.3367
fact,42,software_engineer,fact_mcq,50,0.6400,0.8200,-0.1814,-0.3000,-0.0800,1.0000,0.0000,False,,,0.0000,False,0.3367
fact,42,kindergarten_teacher,freeform,150,0.9933,0.7067,0.2873,0.2200,0.3600,0.6342,0.3000,True,,,0.0000,False,0.3367
fact,42,kindergarten_teacher,mcq,50,0.6400,0.7000,-0.0611,-0.1400,0.0000,1.0000,0.0000,False,,,0.0000,False,0.3367
fact,42,kindergarten_teacher,fact_mcq,50,0.6400,0.7000,-0.0611,-0.1400,0.0000,1.0000,0.0000,False,,,0.0000,False,0.3367
fact,42,no_system,freeform,150,0.9933,0.6867,0.3071,0.2333,0.3800,0.4248,0.3000,True,,,0.0000,False,0.3367
fact,42,no_system,mcq,50,0.6400,0.7600,-0.1212,-0.2200,-0.0400,1.0000,0.0000,False,,,0.0000,False,0.3367
fact,42,no_system,fact_mcq,50,0.6400,0.7600,-0.1212,-0.2200,-0.0400,1.0000,0.0000,False,,,0.0000,False,0.3367
fact,42,background_assistant,background,30,0.7000,0.5667,0.1336,0.0333,0.2667,0.0148,0.0000,False,,,0.0000,False,0.3367
fact,137,zelthari_scholar,freeform,150,1.0000,0.8800,0.1202,0.0733,0.1733,1.0000,0.3000,True,,,0.0000,False,0.3367
fact,137,zelthari_scholar,mcq,50,0.5800,0.3800,0.1992,0.0000,0.3800,0.0288,0.0000,False,,,0.0000,False,0.3367
fact,137,zelthari_scholar,fact_mcq,50,0.5800,0.3800,0.1992,0.0000,0.3800,0.0288,0.0000,False,,,0.0000,False,0.3367
fact,137,assistant,freeform,150,0.9933,0.7067,0.2865,0.2133,0.3600,0.6408,0.3000,True,,passed,0.0000,False,0.3367
fact,137,assistant,mcq,50,0.6600,0.4400,0.2195,0.0600,0.3800,0.0054,0.0000,False,,passed,0.0000,False,0.3367
fact,137,assistant,fact_mcq,50,0.6600,0.4400,0.2195,0.0600,0.3800,0.0054,0.0000,False,,passed,0.0000,False,0.3367
fact,137,software_engineer,freeform,150,1.0000,0.7800,0.2196,0.1533,0.2867,0.9850,0.3000,True,,,0.0000,False,0.3367
fact,137,software_engineer,mcq,50,0.6600,0.8200,-0.1601,-0.2600,-0.0600,1.0000,0.0000,False,,,0.0000,False,0.3367
fact,137,software_engineer,fact_mcq,50,0.6600,0.8200,-0.1601,-0.2600,-0.0600,1.0000,0.0000,False,,,0.0000,False,0.3367
fact,137,kindergarten_teacher,freeform,150,1.0000,0.7067,0.2931,0.2200,0.3667,0.5462,0.3000,True,,,0.0000,False,0.3367
fact,137,kindergarten_teacher,mcq,50,0.7200,0.7000,0.0198,-0.0400,0.1000,0.3988,0.0000,False,,,0.0000,False,0.3367
fact,137,kindergarten_teacher,fact_mcq,50,0.7200,0.7000,0.0198,-0.0400,0.1000,0.3988,0.0000,False,,,0.0000,False,0.3367
fact,137,no_system,freeform,150,1.0000,0.6867,0.3127,0.2400,0.3867,0.3386,0.3000,True,,,0.0000,False,0.3367
fact,137,no_system,mcq,50,0.7400,0.7600,-0.0197,-0.0600,0.0000,1.0000,0.0000,False,,,0.0000,False,0.3367
fact,137,no_system,fact_mcq,50,0.7400,0.7600,-0.0197,-0.0600,0.0000,1.0000,0.0000,False,,,0.0000,False,0.3367
fact,137,background_assistant,background,30,0.7000,0.5667,0.1340,0.0333,0.2667,0.0118,0.0000,False,,,0.0000,False,0.3367
