group,path,revision,bytes,git_blob,lfs_sha256,url,download_url,bundled_path,sha256,status,download_http_status
context_32k,issue2552_derreplication/exactrep/analysis_tensors/sae_ctx_rep/assemble.done.json,cd80ba2588bb6d4291edf621176ea654bcbf2507,79193,bbef9fc1f7f3a3c1fc0afe844e079643095bc557,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue2552_derreplication/exactrep/analysis_tensors/sae_ctx_rep/assemble.done.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue2552_derreplication/exactrep/analysis_tensors/sae_ctx_rep/assemble.done.json,sae_assets/issue2552_derreplication/exactrep/analysis_tensors/sae_ctx_rep/assemble.done.json,736ef6b20c7107628fe0cca04834746fd38affb60ca0a2ba35d205dcce50b7f4,bundled_verified,
context_32k,issue2552_derreplication/exactrep/analysis_tensors/sae_ctx_rep/cfg.json,cd80ba2588bb6d4291edf621176ea654bcbf2507,851,c90fe28c6723077aa541465f71998925f81b7da0,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue2552_derreplication/exactrep/analysis_tensors/sae_ctx_rep/cfg.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue2552_derreplication/exactrep/analysis_tensors/sae_ctx_rep/cfg.json,sae_assets/issue2552_derreplication/exactrep/analysis_tensors/sae_ctx_rep/cfg.json,76c541f57db26e2e136c349758cdeeb59981b8afb58c7858b15e1f99f21599f9,bundled_verified,
context_32k,issue2552_derreplication/exactrep/analysis_tensors/sae_ctx_rep/row_index.jsonl,cd80ba2588bb6d4291edf621176ea654bcbf2507,200512429,8453a917514a1d8f265212f18af7b42de2196ddd,1a929849c3a6334d71c14e87dbb641d2367374d173a35fe1f5084e9e4885a063,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue2552_derreplication/exactrep/analysis_tensors/sae_ctx_rep/row_index.jsonl,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue2552_derreplication/exactrep/analysis_tensors/sae_ctx_rep/row_index.jsonl,,,remote_only_large_file,200
context_32k,issue2552_derreplication/exactrep/analysis_tensors/sae_ctx_rep/sae_weights.safetensors,cd80ba2588bb6d4291edf621176ea654bcbf2507,939669884,5bb34a96f8b055c7061a53ff41f049528a77d456,9657db22a0bd4f446fcd5cd7877fd8f2a0a7309499e784105a97a333cc8d0eb0,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue2552_derreplication/exactrep/analysis_tensors/sae_ctx_rep/sae_weights.safetensors,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue2552_derreplication/exactrep/analysis_tensors/sae_ctx_rep/sae_weights.safetensors,,,remote_only_large_file,200
context_32k,issue2552_derreplication/exactrep/analysis_tensors/sae_ctx_rep/splits.npz,cd80ba2588bb6d4291edf621176ea654bcbf2507,11806084,236ed8eda863c5ec9f309ff7d777c286c7f178ee,3d8ed26b8656de3dc34c6d5cae97a7685b8496119cf6925ffa458ea4dd4ee983,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue2552_derreplication/exactrep/analysis_tensors/sae_ctx_rep/splits.npz,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue2552_derreplication/exactrep/analysis_tensors/sae_ctx_rep/splits.npz,,,remote_only_large_file,200
context_32k,issue2552_derreplication/exactrep/analysis_tensors/sae_ctx_rep/train_log.json,cd80ba2588bb6d4291edf621176ea654bcbf2507,1585,c6f772a791d1d4fed81298b35619f6eb3be0bf94,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue2552_derreplication/exactrep/analysis_tensors/sae_ctx_rep/train_log.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue2552_derreplication/exactrep/analysis_tensors/sae_ctx_rep/train_log.json,sae_assets/issue2552_derreplication/exactrep/analysis_tensors/sae_ctx_rep/train_log.json,63add2e9a6f10eae95a3952592e08e561c6f7339d7fa0d2c5f78c9919c9c9fbe,bundled_verified,
answer_32k,issue2552_derreplication/exactrep/analysis_tensors/sae_rep/assemble.done.json,cd80ba2588bb6d4291edf621176ea654bcbf2507,73125,3666fa9a1bda24538c5b69a8f0a72524887c07c3,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue2552_derreplication/exactrep/analysis_tensors/sae_rep/assemble.done.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue2552_derreplication/exactrep/analysis_tensors/sae_rep/assemble.done.json,sae_assets/issue2552_derreplication/exactrep/analysis_tensors/sae_rep/assemble.done.json,e64d490a070122e7f87f0d38dfd923b4dd10851a63b39a380241d9228fc9f1fb,bundled_verified,
answer_32k,issue2552_derreplication/exactrep/analysis_tensors/sae_rep/cfg.json,cd80ba2588bb6d4291edf621176ea654bcbf2507,822,8a52f34fa3887776c143f5898a41f8e6984be18a,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue2552_derreplication/exactrep/analysis_tensors/sae_rep/cfg.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue2552_derreplication/exactrep/analysis_tensors/sae_rep/cfg.json,sae_assets/issue2552_derreplication/exactrep/analysis_tensors/sae_rep/cfg.json,71d8d2f6a9bf31f8c9875bf6f46b98b930aec3af070e1a159385e4f2538288bb,bundled_verified,
answer_32k,issue2552_derreplication/exactrep/analysis_tensors/sae_rep/row_index.jsonl,cd80ba2588bb6d4291edf621176ea654bcbf2507,200512429,8453a917514a1d8f265212f18af7b42de2196ddd,1a929849c3a6334d71c14e87dbb641d2367374d173a35fe1f5084e9e4885a063,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue2552_derreplication/exactrep/analysis_tensors/sae_rep/row_index.jsonl,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue2552_derreplication/exactrep/analysis_tensors/sae_rep/row_index.jsonl,,,remote_only_large_file,200
answer_32k,issue2552_derreplication/exactrep/analysis_tensors/sae_rep/sae_weights.safetensors,cd80ba2588bb6d4291edf621176ea654bcbf2507,939669884,3df7a06c397b5c6531c85f722239b656af33588c,7c0b134e7f4a5618d1b2f87b3cbaba2b5e25f139bb95582988553c4f18dd1b08,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue2552_derreplication/exactrep/analysis_tensors/sae_rep/sae_weights.safetensors,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue2552_derreplication/exactrep/analysis_tensors/sae_rep/sae_weights.safetensors,,,remote_only_large_file,200
