behavior,regime,variant,u_rung_label,budget_l,draw,seed,f_u,f_l,delta_rho_frozen,ci_lo_inherited,ci_hi_inherited,rho_arm6,rho_arm2
evil,e1,context_end,full,250,0,0,,,-0.01681494360434943,-0.1379371281400519,0.10200385886385503,0.42974462693758797,0.4465595705419374
evil,e2,context_end,full,250,0,0,,,-0.18140078086435057,-0.30452161152552976,-0.0346845291403937,0.2651587896775868,0.4465595705419374
evil,e2p,context_end,full,250,0,0,,,0.05734545312381556,-0.029731882471096514,0.1481151512595341,0.503905023665753,0.4465595705419374
evil,e1,context_end,full,2500,0,0,,,-0.1539946738337783,-0.1864926649253079,-0.12756645375394163,0.5064538925473012,0.6604485663810795
evil,e2,context_end,full,2500,0,0,,,-0.4118851584162361,-0.4489358859738486,-0.3672319814271992,0.24856340796484344,0.6604485663810795
evil,e2p,context_end,full,2500,0,0,,,-0.10731800669627944,-0.13722371268339814,-0.08255577397112396,0.5531305596848001,0.6604485663810795
evil,e1,context_end,full,8000,0,0,,,-0.1348871745146737,-0.15041601339989522,-0.11985548489263151,0.5248838063710559,0.6597709808857296
evil,e2,context_end,full,8000,0,0,,,-0.42275302893739186,-0.44171844513934827,-0.39204627363822225,0.23701795194833772,0.6597709808857296
evil,e2p,context_end,full,8000,0,0,,,-0.10872440605439027,-0.12420037385299273,-0.09199079088822162,0.5510465748313393,0.6597709808857296
evil,e1,context_end,250,250,0,0,,,-0.25737915460272787,-0.363549506168582,-0.10879493090515245,0.20538550826085186,0.46276466286357976
evil,e2,context_end,250,250,0,0,,,-0.18441323947167532,-0.29377819894289836,-0.018739764281545345,0.27835142339190444,0.46276466286357976
evil,e2p,context_end,250,250,0,0,,,-0.11761364436116095,-0.24105712838717308,0.011142945092880748,0.3451510185024188,0.46276466286357976
evil,e1,context_end,250,250,0,1,,,-0.08024926316898706,-0.18717101553301593,-0.0059479688834241495,0.5243335856585393,0.6045828488275263
evil,e2,context_end,250,250,0,1,,,-0.2943120182670545,-0.42619887767127806,-0.18829023012374943,0.31027083056047183,0.6045828488275263
evil,e2p,context_end,250,250,0,1,,,-0.0864956195592631,-0.1888694492091044,-0.007036758875953876,0.5180872292682632,0.6045828488275263
evil,e1,context_end,250,250,0,2,,,-0.3288737661193307,-0.39403543242577116,-0.21099102025483144,0.29627900832563936,0.6251527744449701
evil,e2,context_end,250,250,0,2,,,-0.4531909398960675,-0.5069957339740646,-0.32617075392961503,0.17196183454890254,0.6251527744449701
evil,e2p,context_end,250,250,0,2,,,-0.24529492530167107,-0.3387097807380999,-0.17162341762483616,0.379857849143299,0.6251527744449701
evil,e1,context_end,250,250,1,0,,,-0.12292419960397533,-0.23396278606358836,-0.0010784673847030308,0.3659561525358703,0.48888035213984565
evil,e2,context_end,250,250,1,0,,,-0.300061539489684,-0.41492670772999407,-0.14568141293663422,0.18881881265016165,0.48888035213984565
evil,e2p,context_end,250,250,1,0,,,-0.18482350215017046,-0.3059014579410133,-0.05466949540907334,0.3040568499896752,0.48888035213984565
evil,e1,context_end,250,250,1,1,,,-0.21759824596608374,-0.30978732820543586,-0.1305186245822256,0.395006726706638,0.6126049726727217
evil,e2,context_end,250,250,1,1,,,-0.49240474853253635,-0.5941552848544618,-0.3494538634406915,0.12020022414018536,0.6126049726727217
evil,e2p,context_end,250,250,1,1,,,-0.2851595880153497,-0.38904709090415035,-0.18209895259983871,0.32744538465737205,0.6126049726727217
evil,e1,context_end,250,250,1,2,,,-0.23666911677749258,-0.2920867133668518,-0.08750617737214698,0.36913208589787594,0.6058012026753685
evil,e2,context_end,250,250,1,2,,,-0.37903787848544424,-0.45176086568362184,-0.23597848226116794,0.2267633241899243,0.6058012026753685
