arm,seed,frame,kind,n,trained_acc,baseline_acc,delta_mean,delta_lo,delta_hi,p_one_sided,margin,is_primary_cell,kill_reason,branch,fp_rate_base,use_strict_entities,upper_ci_delta_arm
fact,42,zelthari_scholar,freeform,150,0.9867,0.8800,0.1066,0.0533,0.1667,1.0000,0.3000,True,,,0.0000,False,0.3333
fact,42,zelthari_scholar,mcq,50,0.7800,0.3800,0.3999,0.2400,0.5600,0.0000,0.0000,False,,,0.0000,False,0.3333
fact,42,zelthari_scholar,fact_mcq,50,0.7800,0.3800,0.3999,0.2400,0.5600,0.0000,0.0000,False,,,0.0000,False,0.3333
fact,42,assistant,freeform,150,0.9733,0.7067,0.2671,0.2000,0.3400,0.8088,0.3000,True,,passed,0.0000,False,0.3333
fact,42,assistant,mcq,50,1.0000,0.4400,0.5610,0.4200,0.7000,0.0000,0.0000,False,,passed,0.0000,False,0.3333
fact,42,assistant,fact_mcq,50,1.0000,0.4400,0.5610,0.4200,0.7000,0.0000,0.0000,False,,passed,0.0000,False,0.3333
fact,42,software_engineer,freeform,150,0.9867,0.7800,0.2070,0.1467,0.2733,0.9966,0.3000,True,,,0.0000,False,0.3333
fact,42,software_engineer,mcq,50,1.0000,0.8200,0.1802,0.0800,0.3000,0.0000,0.0000,False,,,0.0000,False,0.3333
fact,42,software_engineer,fact_mcq,50,1.0000,0.8200,0.1802,0.0800,0.3000,0.0000,0.0000,False,,,0.0000,False,0.3333
fact,42,kindergarten_teacher,freeform,150,0.9800,0.7067,0.2739,0.2000,0.3467,0.7522,0.3000,True,,,0.0000,False,0.3333
fact,42,kindergarten_teacher,mcq,50,1.0000,0.7000,0.3005,0.1800,0.4200,0.0000,0.0000,False,,,0.0000,False,0.3333
fact,42,kindergarten_teacher,fact_mcq,50,1.0000,0.7000,0.3005,0.1800,0.4200,0.0000,0.0000,False,,,0.0000,False,0.3333
fact,42,no_system,freeform,150,0.9867,0.6867,0.3005,0.2267,0.3733,0.5004,0.3000,True,,,0.0000,False,0.3333
fact,42,no_system,mcq,50,1.0000,0.7600,0.2405,0.1200,0.3600,0.0000,0.0000,False,,,0.0000,False,0.3333
fact,42,no_system,fact_mcq,50,1.0000,0.7600,0.2405,0.1200,0.3600,0.0000,0.0000,False,,,0.0000,False,0.3333
fact,42,background_assistant,background,30,0.7000,0.5667,0.1336,0.0333,0.2667,0.0148,0.0000,False,,,0.0000,False,0.3333
fact,137,zelthari_scholar,freeform,150,1.0000,0.8800,0.1202,0.0733,0.1733,1.0000,0.3000,True,,,0.0000,False,0.3333
fact,137,zelthari_scholar,mcq,50,1.0000,0.3800,0.6198,0.4800,0.7400,0.0000,0.0000,False,,,0.0000,False,0.3333
fact,137,zelthari_scholar,fact_mcq,50,1.0000,0.3800,0.6198,0.4800,0.7400,0.0000,0.0000,False,,,0.0000,False,0.3333
fact,137,assistant,freeform,150,1.0000,0.7067,0.2931,0.2200,0.3667,0.5470,0.3000,True,,passed,0.0000,False,0.3333
fact,137,assistant,mcq,50,1.0000,0.4400,0.5603,0.4200,0.7000,0.0000,0.0000,False,,passed,0.0000,False,0.3333
fact,137,assistant,fact_mcq,50,1.0000,0.4400,0.5603,0.4200,0.7000,0.0000,0.0000,False,,passed,0.0000,False,0.3333
fact,137,software_engineer,freeform,150,1.0000,0.7800,0.2196,0.1533,0.2867,0.9850,0.3000,True,,,0.0000,False,0.3333
fact,137,software_engineer,mcq,50,1.0000,0.8200,0.1808,0.0800,0.3000,0.0000,0.0000,False,,,0.0000,False,0.3333
fact,137,software_engineer,fact_mcq,50,1.0000,0.8200,0.1808,0.0800,0.3000,0.0000,0.0000,False,,,0.0000,False,0.3333
fact,137,kindergarten_teacher,freeform,150,1.0000,0.7067,0.2931,0.2200,0.3667,0.5462,0.3000,True,,,0.0000,False,0.3333
fact,137,kindergarten_teacher,mcq,50,1.0000,0.7000,0.3008,0.1800,0.4400,0.0000,0.0000,False,,,0.0000,False,0.3333
fact,137,kindergarten_teacher,fact_mcq,50,1.0000,0.7000,0.3008,0.1800,0.4400,0.0000,0.0000,False,,,0.0000,False,0.3333
fact,137,no_system,freeform,150,1.0000,0.6867,0.3127,0.2400,0.3867,0.3386,0.3000,True,,,0.0000,False,0.3333
fact,137,no_system,mcq,50,1.0000,0.7600,0.2410,0.1200,0.3600,0.0000,0.0000,False,,,0.0000,False,0.3333
fact,137,no_system,fact_mcq,50,1.0000,0.7600,0.2410,0.1200,0.3600,0.0000,0.0000,False,,,0.0000,False,0.3333
fact,137,background_assistant,background,30,0.6667,0.5667,0.1006,-0.0333,0.2333,0.1244,0.0000,False,,,0.0000,False,0.3333
