arm,model,layer,turn,mapping,n,r2,null_mean,null_hi,null_max,r2_folds
armG,instruct,14,1,ctx,5000,0.4730662634228453,,,,0.476924;0.483014;0.465528;0.478378;0.470244;0.461546
armG,instruct,14,2,ctx,5000,0.4626443525758027,,,,0.457482;0.464749;0.463907;0.460321;0.467759;0.458384
armG,instruct,14,2,pfx,5000,0.26635562925487455,,,,0.268652;0.272256;0.263991;0.264525;0.256206;0.267697
armG,instruct,14,3,ctx,5000,0.4897260862232492,,,,0.475541;0.505975;0.492220;0.482177;0.492521;0.487419
armG,instruct,14,3,pfx,5000,0.36119529935785777,,,,0.355210;0.371673;0.356228;0.359474;0.361957;0.358948
armG,instruct,14,4,ctx,5000,0.50461924848949,,,,0.491893;0.513154;0.505390;0.499863;0.511060;0.503518
armG,instruct,14,4,pfx,5000,0.39474551751706266,,,,0.380631;0.398538;0.395714;0.393698;0.403525;0.392627
armG,instruct,14,5,ctx,5000,0.5092482647335769,,,,0.507016;0.512882;0.503135;0.505268;0.515981;0.508338
armG,instruct,14,5,pfx,5000,0.40809579760648684,,,,0.403087;0.415546;0.407265;0.400928;0.410596;0.407705
armG,instruct,14,6,ctx,5000,0.5147387879120366,,,,0.515408;0.522821;0.511311;0.496115;0.524633;0.516085
armG,instruct,14,6,pfx,5000,0.4163793506790743,,,,0.419802;0.411005;0.412566;0.403397;0.427701;0.420761
armG,instruct,14,7,ctx,5000,0.5148606135414768,,,,0.520434;0.524428;0.510302;0.502565;0.521524;0.507734
armG,instruct,14,7,pfx,5000,0.42544261905745895,,,,0.431834;0.429271;0.424141;0.420644;0.432858;0.410873
armG,instruct,14,8,ctx,5000,0.5172683574969927,,,,0.513155;0.522868;0.518392;0.509795;0.524060;0.512954
armG,instruct,14,8,pfx,5000,0.41982342454902777,,,,0.419300;0.416273;0.419170;0.414650;0.435045;0.411400
armG,instruct,14,9,ctx,5000,0.5237257396830535,,,,0.516865;0.538114;0.521790;0.517801;0.523077;0.522583
armG,instruct,14,9,pfx,5000,0.4276718478597237,,,,0.416501;0.437371;0.420902;0.428440;0.428641;0.431214
armG,instruct,14,10,ctx,5000,0.5196844761685072,,,,0.515745;0.525873;0.526694;0.510165;0.519002;0.517944
armG,instruct,14,10,pfx,5000,0.41681752831258523,,,,0.407004;0.428318;0.420688;0.414603;0.409701;0.417539
armG,instruct,14,11,ctx,5000,0.5222321823026488,,,,0.521020;0.525600;0.526907;0.519635;0.515964;0.521337
armG,instruct,14,11,pfx,5000,0.4194808376868828,,,,0.420417;0.416141;0.418530;0.421590;0.411112;0.425361
armG,instruct,14,12,ctx,5000,0.5217935561913687,,,,0.521084;0.528211;0.525570;0.514346;0.527553;0.511726
armG,instruct,14,12,pfx,5000,0.41761835650693646,,,,0.411072;0.420526;0.413645;0.422939;0.422922;0.411780
armG,instruct,14,13,ctx,5000,0.5312864827396584,,,,0.536035;0.532319;0.541074;0.518751;0.530427;0.526317
armG,instruct,14,13,pfx,5000,0.41713515877067764,,,,0.426658;0.421854;0.406344;0.410641;0.421674;0.412224
armG,instruct,14,14,ctx,5000,0.5292573889484596,,,,0.533577;0.531089;0.529656;0.524499;0.524241;0.528823
armG,instruct,14,14,pfx,5000,0.41466729445350603,,,,0.416955;0.424570;0.408856;0.410852;0.420786;0.402523
armG,instruct,14,15,ctx,5000,0.5298724314212615,,,,0.530158;0.537504;0.539209;0.525439;0.526250;0.518434
armG,instruct,14,15,pfx,5000,0.4124751879907368,,,,0.426519;0.422964;0.407756;0.412994;0.405691;0.396257
armG,instruct,14,16,ctx,5000,0.5345029421523579,,,,0.539045;0.540682;0.546531;0.519855;0.529579;0.529144
armG,instruct,14,16,pfx,5000,0.40966167338379156,,,,0.414930;0.412560;0.416622;0.399313;0.400829;0.410486
armG,instruct,18,1,ctx,5000,0.5347383724717114,,,,0.532717;0.540938;0.528152;0.545788;0.535871;0.522415
armG,instruct,18,2,ctx,5000,0.5083872127633491,,,,0.504152;0.503611;0.511410;0.506022;0.514684;0.507282
armG,instruct,18,2,pfx,5000,0.23836828093705775,,,,0.238539;0.238166;0.236945;0.242729;0.229566;0.239058
armG,instruct,18,3,ctx,5000,0.5279279036660801,,,,0.513814;0.541673;0.526907;0.521854;0.530862;0.529928
armG,instruct,18,3,pfx,5000,0.3564003712250876,,,,0.349991;0.367137;0.346748;0.357016;0.356121;0.357461
armG,instruct,18,4,ctx,5000,0.5393114271507119,,,,0.524138;0.543795;0.539167;0.538864;0.546874;0.540080
armG,instruct,18,4,pfx,5000,0.39387057054435304,,,,0.371267;0.399501;0.396452;0.392813;0.403946;0.395291
armG,instruct,18,5,ctx,5000,0.5402087003697318,,,,0.539392;0.542775;0.536108;0.534075;0.545270;0.541100
armG,instruct,18,5,pfx,5000,0.40634914138925193,,,,0.399844;0.412379;0.402433;0.403382;0.407269;0.409255
armG,instruct,18,6,ctx,5000,0.5423584506374537,,,,0.540723;0.548182;0.539349;0.524295;0.552151;0.547627
armG,instruct,18,6,pfx,5000,0.4149509254857411,,,,0.416268;0.413505;0.408155;0.400370;0.430452;0.418364
armG,instruct,18,7,ctx,5000,0.5397875550997836,,,,0.544415;0.548866;0.537561;0.530726;0.542944;0.532316
armG,instruct,18,7,pfx,5000,0.420723194342412,,,,0.426175;0.422071;0.421896;0.418191;0.427425;0.405646
armG,instruct,18,8,ctx,5000,0.5411105720119941,,,,0.536804;0.547415;0.540322;0.535202;0.545503;0.539146
armG,instruct,18,8,pfx,5000,0.4137746553220677,,,,0.410795;0.410581;0.412067;0.411055;0.427200;0.407795
armG,instruct,18,9,ctx,5000,0.5454529072006048,,,,0.540739;0.559052;0.545440;0.541303;0.543394;0.540710
armG,instruct,18,9,pfx,5000,0.42154566261191184,,,,0.408235;0.431392;0.413818;0.419605;0.421668;0.431230
armG,instruct,18,10,ctx,5000,0.5432934799981506,,,,0.540277;0.549491;0.548667;0.532600;0.541758;0.544324
armG,instruct,18,10,pfx,5000,0.4107797179873446,,,,0.397768;0.422083;0.416765;0.409149;0.402843;0.412845
armG,instruct,18,11,ctx,5000,0.5419746570156501,,,,0.536271;0.545981;0.545371;0.541850;0.530527;0.548762
armG,instruct,18,11,pfx,5000,0.41219141241742785,,,,0.411719;0.407797;0.410725;0.419167;0.399081;0.420634
armG,instruct,18,12,ctx,5000,0.540207458894046,,,,0.540179;0.542868;0.546729;0.529450;0.545866;0.533827
armG,instruct,18,12,pfx,5000,0.403688323239489,,,,0.399029;0.407211;0.401507;0.407567;0.412341;0.391728
