arm,model,layer,source_turn,target_turn,r2
armG,instruct,19,1,1,0.5893531121811355
armG,instruct,19,1,10,-0.049946775234668506
armG,instruct,19,1,11,-0.08405287053504829
armG,instruct,19,1,12,-0.10348350724460076
armG,instruct,19,1,13,-0.1298222912346192
armG,instruct,19,1,14,-0.14946005367635196
armG,instruct,19,1,15,-0.1660691546680806
armG,instruct,19,1,16,-0.17116445519436496
armG,instruct,19,1,2,0.36330007119031227
armG,instruct,19,1,3,0.2795053418527529
armG,instruct,19,1,4,0.21483347758129556
armG,instruct,19,1,5,0.15760877577789556
armG,instruct,19,1,6,0.10842519000496509
armG,instruct,19,1,7,0.05289066070996118
armG,instruct,19,1,8,0.010387689506508369
armG,instruct,19,1,9,-0.027166911331306887
armG,instruct,19,10,1,0.10486462365003102
armG,instruct,19,10,10,0.5670992068731735
armG,instruct,19,10,11,0.565519439034379
armG,instruct,19,10,12,0.5621051926309957
armG,instruct,19,10,13,0.5665083568691832
armG,instruct,19,10,14,0.5595902569312043
armG,instruct,19,10,15,0.5563542795677829
armG,instruct,19,10,16,0.5575101238156674
armG,instruct,19,10,2,0.40207062688684536
armG,instruct,19,10,3,0.4951674104443935
armG,instruct,19,10,4,0.5328769229371301
armG,instruct,19,10,5,0.5493277934681426
armG,instruct,19,10,6,0.5598960567288216
armG,instruct,19,10,7,0.5614627109069286
armG,instruct,19,10,8,0.5650662478660484
armG,instruct,19,10,9,0.5675546025711209
armG,instruct,19,11,1,0.0876772098297468
armG,instruct,19,11,10,0.5664477368520959
armG,instruct,19,11,11,0.5660860605952243
armG,instruct,19,11,12,0.5624972109593009
armG,instruct,19,11,13,0.5682693975001263
armG,instruct,19,11,14,0.5628512934160934
armG,instruct,19,11,15,0.5593576232349078
armG,instruct,19,11,16,0.5609646875661731
armG,instruct,19,11,2,0.38864783355928034
armG,instruct,19,11,3,0.48385461118733575
armG,instruct,19,11,4,0.524140844166244
armG,instruct,19,11,5,0.5437713654716851
armG,instruct,19,11,6,0.5538603374034405
armG,instruct,19,11,7,0.5578377120207569
armG,instruct,19,11,8,0.5630250263229786
armG,instruct,19,11,9,0.5674429515215109
armG,instruct,19,12,1,0.09457008615967821
armG,instruct,19,12,10,0.5642266440032795
armG,instruct,19,12,11,0.5636716488228354
armG,instruct,19,12,12,0.5632106523901919
armG,instruct,19,12,13,0.5698586012090088
armG,instruct,19,12,14,0.5648950566073119
armG,instruct,19,12,15,0.5623283160155315
armG,instruct,19,12,16,0.5645525948209487
armG,instruct,19,12,2,0.38836076294205035
armG,instruct,19,12,3,0.4793310065532218
armG,instruct,19,12,4,0.519125705466937
armG,instruct,19,12,5,0.538281272403684
armG,instruct,19,12,6,0.5503474063380711
armG,instruct,19,12,7,0.5538598589234442
armG,instruct,19,12,8,0.5601305134007056
armG,instruct,19,12,9,0.5634140000052763
armG,instruct,19,13,1,0.04412463477074435
armG,instruct,19,13,10,0.5644269629928127
armG,instruct,19,13,11,0.5652408720417634
armG,instruct,19,13,12,0.5655794201976293
armG,instruct,19,13,13,0.5708616739370684
armG,instruct,19,13,14,0.5675598339859209
armG,instruct,19,13,15,0.5672655327692686
armG,instruct,19,13,16,0.5697538687059749
armG,instruct,19,13,2,0.3468359772169305
armG,instruct,19,13,3,0.46174829359161573
armG,instruct,19,13,4,0.5105125064588667
armG,instruct,19,13,5,0.5330156318360448
armG,instruct,19,13,6,0.546102366682649
armG,instruct,19,13,7,0.5522422748197383
armG,instruct,19,13,8,0.5578933739514742
armG,instruct,19,13,9,0.5631307078226703
armG,instruct,19,14,1,0.08147469604731616
armG,instruct,19,14,10,0.5606785124844534
armG,instruct,19,14,11,0.5626598111991978
armG,instruct,19,14,12,0.5630363733615158
armG,instruct,19,14,13,0.5702887580347946
armG,instruct,19,14,14,0.5669919967378649
armG,instruct,19,14,15,0.5665274073378067
armG,instruct,19,14,16,0.5702626504215798
armG,instruct,19,14,2,0.3708236588188849
armG,instruct,19,14,3,0.4639529554850381
armG,instruct,19,14,4,0.5054462877621272
armG,instruct,19,14,5,0.5271848841833005
armG,instruct,19,14,6,0.5408928861889482
armG,instruct,19,14,7,0.5465121841002354
armG,instruct,19,14,8,0.5534505525034707
armG,instruct,19,14,9,0.5584698304956965
armG,instruct,19,15,1,0.08065592497855578
armG,instruct,19,15,10,0.557728246818368
armG,instruct,19,15,11,0.5596798614013665
armG,instruct,19,15,12,0.5594632663184017
armG,instruct,19,15,13,0.5686270676865264
armG,instruct,19,15,14,0.5648521624125984
armG,instruct,19,15,15,0.5662788791631912
armG,instruct,19,15,16,0.5693492758652076
armG,instruct,19,15,2,0.35904815181243377
armG,instruct,19,15,3,0.45522278606049527
armG,instruct,19,15,4,0.49941571110059924
armG,instruct,19,15,5,0.521162596307736
armG,instruct,19,15,6,0.5359963330916862
armG,instruct,19,15,7,0.5438879025980772
armG,instruct,19,15,8,0.549912049435867
armG,instruct,19,15,9,0.5562209588891402
armG,instruct,19,16,1,0.06589982913667225
armG,instruct,19,16,10,0.5557125227574569
armG,instruct,19,16,11,0.5577015565286347
armG,instruct,19,16,12,0.5587048178119585
armG,instruct,19,16,13,0.5683106426487076
armG,instruct,19,16,14,0.5646519287453287
armG,instruct,19,16,15,0.5663718787537683
armG,instruct,19,16,16,0.5700008166236592
armG,instruct,19,16,2,0.35735480331413394
armG,instruct,19,16,3,0.450713675458458
armG,instruct,19,16,4,0.49403664994531504
armG,instruct,19,16,5,0.5176339225238953
armG,instruct,19,16,6,0.5310685266609467
armG,instruct,19,16,7,0.5371261703698184
armG,instruct,19,16,8,0.546464439176627
armG,instruct,19,16,9,0.5523832234676992
armG,instruct,19,2,1,0.4098894754562252
armG,instruct,19,2,10,0.3637028457395032
armG,instruct,19,2,11,0.3404572553115296
armG,instruct,19,2,12,0.3248351259469723
armG,instruct,19,2,13,0.3060468003004101
armG,instruct,19,2,14,0.2874099604221614
armG,instruct,19,2,15,0.2721684216393433
armG,instruct,19,2,16,0.26443621264365413
armG,instruct,19,2,2,0.5632063231531417
armG,instruct,19,2,3,0.5448863296607187
armG,instruct,19,2,4,0.5198382859503892
armG,instruct,19,2,5,0.48984788933549195
armG,instruct,19,2,6,0.46138818760237843
armG,instruct,19,2,7,0.4304793039331215
armG,instruct,19,2,8,0.4039564731075421
armG,instruct,19,2,9,0.38055427419196064
armG,instruct,19,3,1,0.32596158307239564
armG,instruct,19,3,10,0.47437015618804523
armG,instruct,19,3,11,0.4574614245931551
armG,instruct,19,3,12,0.44297527280366833
armG,instruct,19,3,13,0.43069102290700234
armG,instruct,19,3,14,0.41623165367222736
armG,instruct,19,3,15,0.40327194362662455
armG,instruct,19,3,16,0.3967868412052271
armG,instruct,19,3,2,0.5384061672266459
armG,instruct,19,3,3,0.5722712105586893
armG,instruct,19,3,4,0.5685907847078171
armG,instruct,19,3,5,0.5565242357404793
armG,instruct,19,3,6,0.5389998739889481
armG,instruct,19,3,7,0.5188978779163802
armG,instruct,19,3,8,0.5021290120818963
armG,instruct,19,3,9,0.48672292655760896
armG,instruct,19,4,1,0.2349720271595459
armG,instruct,19,4,10,0.5169530476619697
armG,instruct,19,4,11,0.5058420441073124
armG,instruct,19,4,12,0.49386185933612636
