task_id	overall	in_scope_fails	out_of_scope_fails	unverified_notes	urls_probed
464	PASS	-	-	-	hero image present=5; Figure URL resolvable=5; Reproducibility URL permanence=?(no detail); Reproducibility artifact URLs exist=32
472	PASS	-	-	-	hero image present=5; Figure URL resolvable=5; Reproducibility URL permanence=?(no detail); Reproducibility artifact URLs exist=14
480	PASS	-	-	-	hero image present=13; Figure URL resolvable=13; Reproducibility URL permanence=?(no detail); Reproducibility artifact URLs exist=45
491	PASS	-	-	-	hero image present=8; Figure URL resolvable=8; Reproducibility URL permanence=?(no detail); Reproducibility artifact URLs exist=11
504	PASS	-	-	-	hero image present=13; Figure URL resolvable=13; Reproducibility URL permanence=?(no detail); Reproducibility artifact URLs exist=32
505	PASS	-	-	-	hero image present=4; Figure URL resolvable=4; Reproducibility URL permanence=?(no detail); Reproducibility artifact URLs exist=37
518	PASS	-	-	-	hero image present=7; Figure URL resolvable=7; Reproducibility URL permanence=?(no detail); Reproducibility artifact URLs exist=16
521	PASS	-	-	-	hero image present=10; Figure URL resolvable=10; Reproducibility URL permanence=?(no detail); Reproducibility artifact URLs exist=42
523	PASS	-	-	-	hero image present=5; Figure URL resolvable=5; Reproducibility URL permanence=?(no detail); Reproducibility artifact URLs exist=13
528	PASS	-	-	-	hero image present=3; Figure URL resolvable=3; Reproducibility URL permanence=?(no detail); Reproducibility artifact URLs exist=14
531	PASS	-	-	-	hero image present=4; Figure URL resolvable=4; Reproducibility URL permanence=?(no detail); Reproducibility artifact URLs exist=15
532	PASS	-	-	-	hero image present=5; Figure URL resolvable=5; Reproducibility URL permanence=?(no detail); Reproducibility artifact URLs exist=15
533	PASS	-	-	-	hero image present=14; Figure URL resolvable=14; Reproducibility URL permanence=?(no detail); Reproducibility artifact URLs exist=36
536	PASS	-	-	-	hero image present=5; Figure URL resolvable=5; Reproducibility URL permanence=?(no detail); Reproducibility artifact URLs exist=8
537	PASS	-	-	-	hero image present=11; Figure URL resolvable=11; Reproducibility URL permanence=?(no detail); Reproducibility artifact URLs exist=16
538	PASS	-	-	-	hero image present=7; Figure URL resolvable=7; Reproducibility URL permanence=?(no detail); Reproducibility artifact URLs exist=27
539	PASS	-	-	-	hero image present=5; Figure URL resolvable=5; Reproducibility URL permanence=?(no detail); Reproducibility artifact URLs exist=13
540	PASS	-	-	-	hero image present=11; Figure URL resolvable=11; Reproducibility URL permanence=?(no detail); Reproducibility artifact URLs exist=40
541	PASS	-	-	-	hero image present=5; Figure URL resolvable=5; Reproducibility URL permanence=?(no detail); Reproducibility artifact URLs exist=18
542	PASS	-	-	-	hero image present=7; Figure URL resolvable=7; Reproducibility URL permanence=?(no detail); Reproducibility artifact URLs exist=15
543	PASS	-	-	-	hero image present=6; Figure URL resolvable=6; Reproducibility URL permanence=?(no detail); Reproducibility artifact URLs exist=10
546	PASS	-	-	-	hero image present=5; Figure URL resolvable=5; Reproducibility URL permanence=?(no detail); Reproducibility artifact URLs exist=20
552	PASS	-	-	-	hero image present=12; Figure URL resolvable=12; Reproducibility URL permanence=?(no detail); Reproducibility artifact URLs exist=37
